aX,aY,aZ,gX,gY,gZ
-0.00400000,-0.00620000,0.10310000,0.00196000,-0.00357000,0.00175000
-0.00400000,-0.00620000,0.10310000,-0.00028000,-0.00280000,0.00217000
-0.00590000,-0.00590000,0.10330000,-0.00028000,-0.00280000,0.00217000
-0.00540000,-0.00580000,0.10040000,-0.00112000,-0.00378000,0.00161000
-0.00230000,-0.00640000,0.10300000,0.00070000,-0.00469000,0.00126000
0.00140000,-0.00470000,0.09850000,0.00147000,-0.00546000,0.00196000
0.00160000,-0.00040000,0.10100000,0.00427000,-0.00553000,0.00301000
0.00180000,0.00410000,0.08630000,0.00448000,-0.00084000,0.00210000
0.00180000,0.00410000,0.08630000,0.00448000,-0.00084000,0.00210000
0.00430000,-0.00880000,0.06560000,0.01323000,0.01463000,0.00840000
-0.03390000,-0.01720000,0.17770000,0.01386000,0.04564000,0.02079000
-0.03380000,0.01690000,0.06650000,-0.06216000,0.06083000,0.00518000
-0.01790000,-0.01120000,0.06660000,-0.03332000,-0.00217000,-0.00427000
0.00060000,-0.02070000,0.10270000,0.00441000,-0.03983000,-0.01169000
0.00060000,-0.02070000,0.10270000,0.00441000,-0.03983000,-0.01169000
0.00270000,-0.01480000,0.07450000,0.00798000,0.00056000,-0.00861000
-0.01230000,0.00130000,0.10660000,0.01610000,-0.00070000,0.00161000
-0.01630000,-0.00450000,0.10580000,0.01533000,-0.00399000,0.00273000
-0.01060000,-0.00800000,0.11190000,0.00539000,-0.01869000,0.00035000
-0.01060000,-0.00800000,0.11190000,0.00133000,-0.01743000,-0.00273000
-0.00480000,-0.00610000,0.10320000,0.00133000,-0.01743000,-0.00273000
-0.00730000,-0.01040000,0.11370000,0.00210000,-0.02079000,-0.00371000
-0.01210000,-0.01090000,0.10910000,0.00091000,-0.01904000,-0.00224000
-0.00920000,-0.00890000,0.09770000,0.00245000,-0.01729000,-0.00266000
0.00600000,-0.00660000,0.08650000,0.00455000,-0.01848000,-0.00420000
0.00600000,-0.00660000,0.08650000,0.01253000,-0.00910000,0.00112000
0.01300000,-0.00160000,0.09070000,0.01253000,-0.00910000,0.00112000
0.00280000,-0.00300000,0.10400000,0.01330000,-0.00231000,0.00511000
-0.01040000,-0.00350000,0.10410000,0.00546000,0.00119000,0.00441000
-0.01240000,-0.00580000,0.10250000,-0.00126000,-0.00217000,0.00392000
-0.00350000,-0.00550000,0.09650000,-0.00294000,-0.00553000,-0.00014000
-0.00030000,-0.00340000,0.09610000,0.00301000,-0.00315000,-0.00056000
-0.00030000,-0.00340000,0.09610000,0.00301000,-0.00315000,-0.00056000
-0.00500000,-0.00260000,0.10360000,0.00791000,0.00035000,0.00259000
-0.00960000,-0.00200000,0.10900000,0.00371000,0.00070000,0.00238000
-0.00940000,-0.00420000,0.10550000,-0.00462000,-0.00210000,-0.00161000
-0.00440000,-0.00700000,0.09960000,-0.00777000,-0.00532000,-0.00329000
-0.00410000,-0.00520000,0.09900000,-0.00294000,-0.00434000,0.00056000
-0.00410000,-0.00520000,0.09900000,-0.00294000,-0.00434000,-0.00126000
-0.00380000,-0.00220000,0.10110000,0.00091000,-0.00315000,-0.00126000
-0.00650000,-0.00170000,0.10510000,0.00161000,-0.00217000,-0.00021000
-0.00750000,-0.00470000,0.10480000,-0.00245000,-0.00301000,0.00021000
-0.00480000,-0.00550000,0.10170000,0.00161000,-0.00364000,0.00119000
-0.00420000,-0.00490000,0.10140000,0.00126000,-0.00308000,0.00119000
-0.00530000,-0.00510000,0.10150000,0.00189000,-0.00336000,0.00147000
-0.00530000,-0.00510000,0.10150000,0.00189000,-0.00336000,0.00147000
-0.00480000,-0.00450000,0.10140000,0.00098000,-0.00273000,0.00112000
-0.00370000,-0.00470000,0.10240000,-0.00049000,-0.00301000,0.00070000
-0.00370000,-0.00470000,0.10240000,-0.00049000,-0.00301000,0.00070000
-0.00460000,-0.00550000,0.10200000,-0.00112000,-0.00266000,0.00105000
-0.00610000,-0.00500000,0.10110000,-0.00042000,-0.00294000,0.00077000
-0.00560000,-0.00460000,0.10130000,0.00084000,-0.00420000,0.00014000
-0.00390000,-0.00390000,0.10240000,0.00049000,-0.00448000,0.00000000
-0.00350000,-0.00380000,0.10120000,-0.00119000,-0.00392000,0.00014000
-0.00470000,-0.00520000,0.10120000,-0.00161000,-0.00322000,0.00049000
-0.00470000,-0.00520000,0.10120000,-0.00161000,-0.00322000,0.00049000
-0.00440000,-0.00480000,0.10030000,-0.00063000,-0.00315000,0.00014000
-0.00310000,-0.00450000,0.10060000,0.00182000,-0.00371000,-0.00021000
-0.00310000,-0.00450000,0.10250000,0.00280000,-0.00350000,0.00042000
-0.00430000,-0.00500000,0.10240000,0.00056000,-0.00273000,0.00126000
-0.00410000,-0.00570000,0.10240000,-0.00154000,-0.00224000,0.00147000
-0.00410000,-0.00570000,0.10240000,-0.00175000,-0.00287000,0.00147000
-0.00280000,-0.00520000,0.09880000,-0.00175000,-0.00287000,0.00147000
-0.00390000,-0.00470000,0.09760000,0.00196000,-0.00266000,0.00189000
-0.00440000,-0.00600000,0.10050000,0.00504000,-0.00161000,0.00238000
-0.00210000,-0.00630000,0.10300000,0.00413000,0.00084000,0.00294000
-0.00100000,-0.00290000,0.10390000,0.00273000,0.00119000,0.00406000
-0.00160000,-0.00140000,0.10420000,0.00161000,-0.00350000,0.00308000
-0.00160000,-0.00140000,0.10420000,0.00161000,-0.00350000,0.00308000
0.00260000,-0.00250000,0.08690000,0.00126000,-0.00364000,-0.00007000
0.00600000,-0.00170000,0.06760000,0.01225000,0.00546000,0.00504000
-0.01300000,-0.00400000,0.14340000,0.03094000,0.03381000,0.01582000
-0.03830000,0.01660000,0.14070000,-0.00805000,0.07035000,0.01316000
-0.02470000,-0.00380000,0.06450000,-0.03843000,0.02177000,-0.00105000
