aX,aY,aZ,gX,gY,gZ
0.00550000,0.00830000,0.09620000,0.00273000,0.00259000,0.00077000
-0.00820000,-0.00420000,0.11330000,0.01043000,-0.00875000,-0.00518000
0.00130000,-0.01570000,0.10730000,0.01981000,-0.01274000,-0.01708000
0.00740000,0.00500000,0.07900000,0.02107000,0.01442000,0.00651000
0.00000000,0.01140000,0.11290000,0.01806000,0.00861000,0.01050000
0.00000000,0.01140000,0.11290000,0.01806000,0.00861000,0.01050000
-0.00860000,-0.00130000,0.12500000,-0.00749000,-0.00693000,0.00035000
-0.00650000,-0.00010000,0.08800000,-0.04368000,-0.02513000,0.00511000
0.01100000,0.00100000,0.09630000,-0.04963000,-0.03451000,0.00714000
0.00770000,0.00120000,0.09740000,-0.04851000,-0.03283000,0.01386000
-0.00220000,0.00460000,0.09800000,-0.02884000,-0.02121000,0.01225000
-0.00220000,0.00460000,0.09800000,0.00133000,-0.00294000,-0.00070000
-0.00090000,-0.00280000,0.10010000,0.00133000,-0.00294000,-0.00070000
0.01360000,0.00110000,0.08990000,0.00889000,-0.00028000,-0.00308000
0.00800000,-0.00040000,0.10050000,0.00385000,-0.00455000,0.00427000
0.00090000,0.00260000,0.09790000,0.00084000,-0.00532000,0.00455000
0.00640000,-0.00060000,0.10710000,0.00532000,-0.00329000,0.00049000
0.00790000,-0.00240000,0.10460000,0.00350000,-0.00364000,-0.00056000
0.00790000,-0.00240000,0.10460000,0.00350000,-0.00364000,-0.00056000
0.00500000,-0.00230000,0.10420000,0.00217000,-0.00483000,0.00126000
0.00360000,0.00110000,0.09640000,0.00364000,-0.00455000,0.00210000
0.00610000,0.00150000,0.09870000,0.00889000,0.00063000,-0.00021000
0.00500000,0.00220000,0.10200000,0.01071000,0.00532000,-0.00007000
0.00270000,0.00320000,0.10110000,0.00749000,0.00322000,-0.00028000
0.00270000,0.00320000,0.10110000,0.00490000,0.00063000,-0.00217000
0.00420000,0.00070000,0.10330000,0.00490000,0.00063000,-0.00217000
0.00440000,0.00010000,0.10270000,0.00133000,-0.00133000,-0.00098000
0.00340000,0.00030000,0.10290000,-0.00098000,-0.00280000,0.00049000
0.00390000,-0.00070000,0.10270000,-0.00224000,-0.00392000,0.00042000
